Segment,Segment Users,Total Additions,Total Subtractions,
47559,331637,331637,0,
47465,1200085,1200085,0,
60322,86977,86977,0,
59298,50408,50408,0,
47833,1025396,1025396,0,
47478,259276,259276,0,
47480,160184,160184,0,
47504,646973,646973,0,
47505,75100,75100,0,
47835,609311,609311,0,
52601,85937,85937,0,
43627,29458,29458,0,
44001,4154,4154,0,
47472,493709,493709,0,
43198,150339,150339,0,
56587,330733,330733,0,
56097,286498,286498,0,
43618,13106,13106,0,
65494,242028,242028,0,
47865,1034004,1034004,0,
43913,3503,3503,0,
47576,987642,987642,0,
52603,971836,971836,0,
47571,1196445,1196445,0,
52634,1037873,1037873,0,
47462,935087,935087,0,
66749,85448,85448,0,
56597,257253,257253,0,
67164,46917,46917,0,
47895,106912,106912,0,
47900,353419,353419,0,
47902,55101,55101,0,
47584,209073,209073,0,
47467,226236,226236,0,
47560,247357,247357,0,
47475,330168,330168,0,
47474,497628,497628,0,
52598,97094,97094,0,
63284,50664,50664,0,
47680,19121,19121,0,
63315,25480,25480,0,
47677,92421,92421,0,
47687,34633,34633,0,
47502,159473,159473,0,
47537,20828,20828,0,
47491,350975,350975,0,
47498,191132,191132,0,
47580,142123,142123,0,
47487,154306,154306,0,
47878,33259,33259,0,
47549,49111,49111,0,
47554,124981,124981,0,
47543,113689,113689,0,
47499,59428,59428,0,
47548,49096,49096,0,
66607,66657,66657,0,
66618,39150,39150,0,
47469,93474,93474,0,
47540,248271,248271,0,
47538,296640,296640,0,
59586,60587,60587,0,
47463,116662,116662,0,
47492,117413,117413,0,
47909,30760,30760,0,
47910,19825,19825,0,
57091,53209,53209,0,
57092,43970,43970,0,
59570,322,322,0,
59432,42622,42622,0,
63150,24520,24520,0,
59568,1123,1123,0,
63283,54607,54607,0,
32569,2776,2776,0,
32606,65846,65846,0,
47577,113850,113850,0,
63821,7143,7143,0,
62339,15836,15836,0,
47563,89375,89375,0,
62414,2492,2492,0,
32587,57574,57574,0,
32583,9284,9284,0,
32577,34025,34025,0,
32582,8070,8070,0,
32602,17261,17261,0,
32579,13296,13296,0,
32605,52567,52567,0,
59438,40177,40177,0,
47870,30087,30087,0,
43841,41295,41295,0,
47897,35925,35925,0,
47476,38584,38584,0,
44062,11251,11251,0,
65955,19879,19879,0,
32600,11215,11215,0,
47535,62517,62517,0,
47904,94108,94108,0,
47896,17938,17938,0,
47894,38500,38500,0,
32585,12050,12050,0,
47536,67554,67554,0,
67207,4580,4580,0,
67209,2122,2122,0,
67313,384,384,0,
67264,1266,1266,0,
67262,24311,24311,0,
67169,964,964,0,
67240,2862,2862,0,
67239,1973,1973,0,
67237,3656,3656,0,
67250,44654,44654,0,
67233,13897,13897,0,
63277,50501,50501,0,
63281,48964,48964,0,
63282,46177,46177,0,
47918,58919,58919,0,
56633,25815,25815,0,
47906,39217,39217,0,
47495,64211,64211,0,
47683,31235,31235,0,
63378,33396,33396,0,
47686,7064,7064,0,
56832,19712,19712,0,
56595,34756,34756,0,
59426,1168,1168,0,
59425,7181,7181,0,
47585,66596,66596,0,
66610,24535,24535,0,
65791,9725,9725,0,
65793,8049,8049,0,
65787,12209,12209,0,
47640,21357,21357,0,
47572,30827,30827,0,
47573,30827,30827,0,
59592,5133,5133,0,
59593,83,83,0,
59584,1317,1317,0,
47490,64141,64141,0,
63826,748,748,0,
63827,1327,1327,0,
